M1,f(M1)
1,1.89004
1.01,1.91229
1.02,1.93494
1.03,1.95797
1.04,1.98139
1.05,2.00519
1.06,2.02935
1.07,2.05388
1.08,2.07876
1.09,2.104
1.1,2.12959
1.11,2.15552
1.12,2.1818
1.13,2.20841
1.14,2.23535
1.15,2.26262
1.16,2.29022
1.17,2.31814
1.18,2.34639
1.19,2.37495
1.2,2.40382
1.21,2.43301
1.22,2.46251
1.23,2.49232
1.24,2.52243
1.25,2.55285
1.26,2.58357
1.27,2.6146
1.28,2.64592
1.29,2.67753
1.3,2.70945
1.31,2.74166
1.32,2.77416
1.33,2.80695
1.34,2.84004
1.35,2.87341
1.36,2.90707
1.37,2.94102
1.38,2.97525
1.39,3.00977
1.4,3.04458
1.41,3.07966
1.42,3.11504
1.43,3.15068
1.44,3.18662
1.45,3.22283
1.46,3.25932
1.47,3.29609
1.48,3.33314
1.49,3.37046
1.5,3.40806
1.51,3.44594
1.52,3.48409
1.53,3.52252
1.54,3.56122
1.55,3.60019
1.56,3.63944
1.57,3.67896
1.58,3.71876
1.59,3.75882
1.6,3.79916
1.61,3.83977
1.62,3.88065
1.63,3.92179
1.64,3.96321
1.65,4.0049
1.66,4.04686
1.67,4.08909
1.68,4.13158
1.69,4.17435
1.7,4.21738
1.71,4.26068
1.72,4.30425
1.73,4.34808
1.74,4.39218
1.75,4.43655
1.76,4.48118
1.77,4.52609
1.78,4.57125
1.79,4.61668
1.8,4.66238
1.81,4.70834
1.82,4.75457
1.83,4.80107
1.84,4.84782
1.85,4.89485
1.86,4.94213
1.87,4.98968
1.88,5.0375
1.89,5.08558
1.9,5.13392
1.91,5.18253
1.92,5.2314
1.93,5.28053
1.94,5.32993
1.95,5.37959
1.96,5.42951
1.97,5.47969
1.98,5.53014
1.99,5.58085
2,5.63182
2.01,5.68306
2.02,5.73455
2.03,5.78631
2.04,5.83833
2.05,5.89062
2.06,5.94316
2.07,5.99597
2.08,6.04904
2.09,6.10236
2.1,6.15595
2.11,6.20981
2.12,6.26392
2.13,6.31829
2.14,6.37293
2.15,6.42782
2.16,6.48298
2.17,6.5384
2.18,6.59408
2.19,6.65002
2.2,6.70622
2.21,6.76268
2.22,6.8194
2.23,6.87638
2.24,6.93362
2.25,6.99112
2.26,7.04888
2.27,7.10691
2.28,7.16519
2.29,7.22373
2.3,7.28253
2.31,7.3416
2.32,7.40092
2.33,7.4605
2.34,7.52034
